"filename", "language", "TypeScript", "Vue", "JSON", "Ini", "HTML", "JavaScript", "XML", "Less", "CSS", "comment", "blank", "total"
"e:\MyProgects\epidemic-prevent\.env.development", "Ini", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\MyProgects\epidemic-prevent\.env.production", "Ini", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"e:\MyProgects\epidemic-prevent\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 200, 0, 0, 0, 20, 1, 221
"e:\MyProgects\epidemic-prevent\auto-imports.d.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7
"e:\MyProgects\epidemic-prevent\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 8, 1, 22
"e:\MyProgects\epidemic-prevent\package-lock.json", "JSON", 0, 0, 10772, 0, 0, 0, 0, 0, 0, 0, 1, 10773
"e:\MyProgects\epidemic-prevent\package.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"e:\MyProgects\epidemic-prevent\shim.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 17
"e:\MyProgects\epidemic-prevent\src\App.vue", "Vue", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"e:\MyProgects\epidemic-prevent\src\api\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 9
"e:\MyProgects\epidemic-prevent\src\assets\icons\export.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\MyProgects\epidemic-prevent\src\assets\icons\fullscreen-exit.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\MyProgects\epidemic-prevent\src\assets\icons\fullscreen.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\MyProgects\epidemic-prevent\src\assets\icons\xia.svg", "XML", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 1, 209
"e:\MyProgects\epidemic-prevent\src\assets\less\common.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"e:\MyProgects\epidemic-prevent\src\assets\less\common.less", "Less", 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 1, 17
"e:\MyProgects\epidemic-prevent\src\assets\less\theme\default.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 1, 40
"e:\MyProgects\epidemic-prevent\src\assets\less\theme\default.less", "Less", 0, 0, 0, 0, 0, 0, 0, 42, 0, 7, 5, 54
"e:\MyProgects\epidemic-prevent\src\components\SvgIcon.vue", "Vue", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"e:\MyProgects\epidemic-prevent\src\components\page\GlobalLayout.vue", "Vue", 0, 110, 0, 0, 0, 0, 0, 0, 0, 10, 7, 127
"e:\MyProgects\epidemic-prevent\src\components\page\aside\GlobalAside.vue", "Vue", 0, 119, 0, 0, 0, 0, 0, 0, 0, 13, 9, 141
"e:\MyProgects\epidemic-prevent\src\components\page\aside\Menu.vue", "Vue", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 4, 47
"e:\MyProgects\epidemic-prevent\src\components\page\aside\menu.js", "JavaScript", 0, 0, 0, 0, 0, 253, 0, 0, 0, 8, 14, 275
"e:\MyProgects\epidemic-prevent\src\components\page\header\GlobalHeader.vue", "Vue", 0, 50, 0, 0, 0, 0, 0, 0, 0, 6, 3, 59
"e:\MyProgects\epidemic-prevent\src\components\page\header\components\MenuAction.vue", "Vue", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"e:\MyProgects\epidemic-prevent\src\components\page\header\components\UserTools.vue", "Vue", 0, 86, 0, 0, 0, 0, 0, 0, 0, 9, 4, 99
"e:\MyProgects\epidemic-prevent\src\interface\env.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 14
"e:\MyProgects\epidemic-prevent\src\main.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 34
"e:\MyProgects\epidemic-prevent\src\router\index.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 8, 3, 32
"e:\MyProgects\epidemic-prevent\src\store\index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 21
"e:\MyProgects\epidemic-prevent\src\views\Home.vue", "Vue", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"e:\MyProgects\epidemic-prevent\tsconfig.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 11, 1, 30
"e:\MyProgects\epidemic-prevent\vite.config.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 73
"Total", "-", 120, 509, 10831, 6, 13, 453, 211, 57, 54, 163, 84, 12501
