"filename", "language", "Ini", "JavaScript", "HTML", "TypeScript", "Markdown", "JSON", "Vue", "XML", "Less", "CSS", "Ignore", "comment", "blank", "total"
"e:\MyProgects\epidemic-prevent\.env.development", "Ini", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\MyProgects\epidemic-prevent\.env.production", "Ini", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\MyProgects\epidemic-prevent\.eslintignore", "Ini", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\MyProgects\epidemic-prevent\.eslintrc.js", "JavaScript", 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 221
"e:\MyProgects\epidemic-prevent\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 4
"e:\MyProgects\epidemic-prevent\.prettierrc.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 26
"e:\MyProgects\epidemic-prevent\README.en.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 12, 37
"e:\MyProgects\epidemic-prevent\README.md", "Markdown", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 16
"e:\MyProgects\epidemic-prevent\auto-imports.d.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2, 7
"e:\MyProgects\epidemic-prevent\epidemic-prevent\README.en.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 12, 37
"e:\MyProgects\epidemic-prevent\epidemic-prevent\README.md", "Markdown", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 13, 40
"e:\MyProgects\epidemic-prevent\index.html", "HTML", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 62
"e:\MyProgects\epidemic-prevent\package-lock.json", "JSON", 0, 0, 0, 0, 0, 11503, 0, 0, 0, 0, 0, 0, 1, 11504
"e:\MyProgects\epidemic-prevent\package.json", "JSON", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 44
